Music,Artist,Text,Language,Url,Search Status,Unnamed: 6
MeninaVeneno,Ritchie,"['Meia-noite', 'quarto', 'vai', 'subir', 'Ouço', 'passos', 'escada', 'vejo', 'porta', 'abrir', 'Um', 'abajur', 'cor', 'carne', '*', 'lençol', 'azul', 'Cortinas', 'seda', 'corpo', 'nu', 'Menina', 'veneno', 'mundo', 'pequeno', 'demais', 'dois', 'toda', 'cama', 'durmo', 'Só', 'dá', 'Seus', 'olhos', 'verdes', 'espelho', 'Brilham', 'mim', 'Seu', 'corpo', 'inteiro', 'prazer', 'Do', 'princípio', 'sim', 'Sozinho', 'quarto', 'Eu', 'acordo', 'Fico', 'falando', 'pras', 'paredes', 'Até', 'anoitecer', 'Menina', 'veneno', 'Você', 'jeito', 'sereno', 'ser', 'toda', 'noite', 'quarto', 'Vem', 'entorpecer', 'Me', 'entorpecer', 'Menina', 'veneno', 'O', 'mundo', 'pequeno', 'demais', 'Pra', 'dois', 'toda', 'cama', 'durmo', 'Só', 'dá', 'Meia-noite', 'quarto', 'Ela', 'vai', 'surgir', 'Eu', 'ouço', 'passos', 'escada', 'Eu', 'vejo', 'porta', 'abrir', 'Você', 'vem', 'sei', 'onde', 'Eu', 'sei', 'vem', 'amar', 'Eu', 'sei', 'nome', 'Mas', 'preciso', 'chamar', 'Menina', 'veneno', 'Você', 'jeito', 'sereno', 'ser', 'toda', 'noite', 'quarto', 'Vem', 'entorpecer', 'Me', 'entorpecer', 'Menina', 'veneno', '*', 'Segundo', 'site', 'oficial', 'cantor']",PT-BR,https://api.vagalume.com.br/search.php?art= Ritchie &mus=Menina-Veneno&apikey=dc668952146a4a25b6d06586e7b69708,exact,
Balancê,GalCosta,"['Ô', 'balancê', 'balancê', 'Quero', 'dançar', 'Entra', 'roda', 'morena', 'pra', 'ver', 'Ô', 'balancê', 'balancê', 'Quando', 'mim', 'passa', 'Fingindo', 'vê', 'Meu', 'coração', 'quase', 'despedaça', 'No', 'balancê', 'balancê', 'Refrão', 'Você', 'cartilha', 'Você', 'abc', 'maior', 'maravilha', 'No', 'balancê', 'balancê', 'Refrão', 'Eu', 'levo', 'vida', 'pensando', 'Pensando', 'tempo', 'passa', 'vou', 'acabando', 'No', 'balancê', 'balancê']",PT-BR,https://api.vagalume.com.br/search.php?art= Gal Costa &mus=Balance&apikey=dc668952146a4a25b6d06586e7b69708,exact,
SoniferaIlha,Titãs,"['Não', 'posso', 'viver', 'assim', 'ladinho', 'Por', 'colo', 'ouvido', 'radinho', 'pilha', 'Pra', 'sintonizar', 'sozinha', 'ilha', 'Sonífera', 'ilha', 'Descansa', 'olhos', 'Sossega', 'boca', 'Me', 'enche', 'luz', 'Sonífera', 'ilha', 'Descansa', 'olhos', 'Sossega', 'boca', 'Me', 'enche', 'luz', 'Eu', 'quero', 'viver', 'assim', 'ladinho', 'Por', 'colo', 'ouvido', 'radinho', 'pilha', 'Pra', 'sintonizar', 'sozinha', 'ilha', 'Refrão', 'Sonífera', 'ilha', 'descansa', 'olhos', 'Sossega', 'boca', 'enche', 'luz', 'Sonífera', 'ilha', 'ohho', 'descansa', 'olhos', 'Sossega', 'boca', 'enche', 'luz', 'Sonífera', 'ilha', 'descansa', 'olhos', 'Sossega', 'boca', 'enche', 'luz']",PT-BR,https://api.vagalume.com.br/search.php?art= Titas &mus=Sonifera-Ilha&apikey=dc668952146a4a25b6d06586e7b69708,exact,
FazPartedoMeuShow,Cazuza,"['Te', 'pego', 'escola', 'encho', 'bola', 'Com', 'todo', 'amor', 'Te', 'levo', 'pra', 'festa', 'testo', 'sexo', 'Com', 'ar', 'professor', 'Faço', 'promessas', 'malucas', 'Tão', 'curtas', 'quanto', 'sonho', 'bom', 'Se', 'escondo', 'verdade', 'baby', 'É', 'pra', 'proteger', 'solidão', 'Faz', 'parte', 'show', 'Faz', 'parte', 'show', 'amor', 'Confundo', 'coxas', 'Com', 'outras', 'moças', 'Te', 'mostro', 'toda', 'dor', 'Te', 'faço', 'filho', 'Te', 'dou', 'outra', 'vida', 'Pra', 'mostrar', 'Vago', 'lua', 'deserta', 'Das', 'pedras', 'Arpoador', 'Digo', 'alô', 'inimigo', 'Encontro', 'abrigo', 'No', 'peito', 'traidor', 'Faz', 'parte', 'show', 'Faz', 'parte', 'show', 'amor', 'Invento', 'desculpas', 'Provoco', 'briga', 'Digo', 'Vivo', 'clip', 'nexo', 'Um', 'pierrô-retrocesso', 'Meio', 'bossa', 'nova', 'rock', 'n', 'roll', 'Faz', 'parte', 'show', 'Faz', 'parte', 'show', 'amor', '©', 'Warner', 'Chappell']",PT-BR,https://api.vagalume.com.br/search.php?art= Cazuza &mus=Faz-Parte-do-Meu-Show&apikey=dc668952146a4a25b6d06586e7b69708,exact,
BemQueSeQuis,MarisaMonte,"['Bem', 'quis', 'tudo', 'ainda', 'ser', 'feliz', 'caminhos', 'pra', 'voltar', 'vida', 'fez', 'vida', 'O', 'gente', 'faz', 'amor', 'Mas', 'tanto', 'faz', 'esqueci', 'esquecer', 'porque', 'desejo', 'melhor', 'prazer', 'destino', 'querer', 'sempre', 'estrada', 'corre', 'pro', 'mar', 'Agora', 'vem', 'pra', 'perto', 'vem', 'vem', 'depressa', 'vem', 'fim', 'dentro', 'mim', 'quero', 'sentir', 'corpo', 'pesando', 'sobre', 'vem', 'amor', 'vem', 'pra', 'mim', 'abraça', 'devagar', 'beija', 'faz', 'esquecer', 'Bem', 'quis', 'tudo', 'ainda', 'ser', 'feliz', 'caminhos', 'pra', 'voltar', 'vida', 'fez', 'vida', 'O', 'gente', 'faz', 'amor', 'Mas', 'tanto', 'faz', 'esqueci', 'esquecer', 'porque', 'desejo', 'melhor', 'prazer', 'destino', 'querer', 'sempre', 'estrada', 'corre', 'pro', 'mar', 'Agora', 'vem', 'pra', 'perto', 'vem', 'vem', 'depressa', 'vem', 'fim', 'dentro', 'mim', 'quero', 'sentir', 'corpo', 'pesando', 'sobre', 'vem', 'amor', 'vem', 'pra', 'mim', 'abraça', 'devagar', 'beija', 'faz', 'esquecer', 'Bem', 'quis']",PT-BR,https://api.vagalume.com.br/search.php?art= Marisa Monte &mus=Bem-Que-Se-Quis&apikey=dc668952146a4a25b6d06586e7b69708,aprox,
muitoestranho,Dalto,"['Hum', 'Mas', 'dia', 'chegar', 'Muito', 'estranho', 'Deixa', 'água', 'corpo', 'Lembrar', 'banho', 'Hum', 'Mas', 'dia', 'chegar', 'Muito', 'louco', 'Deixa', 'noite', 'saber', 'dia', 'Foi', 'pouco', 'Cuida', 'bem', 'mim', 'Então', 'misture', 'tudo', 'dentro', 'Porque', 'ninguém', 'vai', 'dormir', 'sonho', 'Hum', 'Minha', 'cara', 'pra', 'tantos', 'planos', 'Se', 'quero', 'amar', 'amar', 'amar', 'muitos', 'anos', 'Hum', 'Tantas', 'vezes', 'quis', 'Ficar', 'solto', 'Como', 'lua', 'brincar', 'rosto', 'Cuida', 'bem', 'mim', 'Então', 'misture', 'tudo', 'dentro', 'Porque', 'ninguém', 'vai', 'dormir', 'sonho']",PT-BR,https://api.vagalume.com.br/search.php?art= Dalto &mus=muito-estranho&apikey=dc668952146a4a25b6d06586e7b69708,exact,
BailaComigo,RitaLee,"['Se', 'Deus', 'quiser', 'dia', 'quero', 'ser', 'índio', 'Viver', 'pelado', 'pintado', 'verde', 'eterno', 'domingo', 'Ser', 'bicho', 'preguiça', 'espantar', 'turista', 'tomar', 'banho', 'sol', 'banho', 'sol', 'banho', 'sol', 'sol', 'Se', 'Deus', 'quiser', 'dia', 'acabo', 'voando', 'Tão', 'banal', 'assim', 'pardal', 'meio', 'contrabando', 'Desviar', 'estilingue', 'deixar', 'xinguem', 'tomar', 'banho', 'sol', 'banho', 'sol', 'banho', 'sol', 'banho', 'sol', 'Baila', 'comigo', 'baila', 'tribo', 'Baila', 'comigo', 'lá', 'esconderijo', 'Se', 'Deus', 'quiser', 'dia', 'viro', 'semente', 'chuva', 'molhar', 'jardim', 'ah', 'fico', 'contente', 'primavera', 'vou', 'brotar', 'terra', 'tomar', 'banho', 'sol', 'banho', 'sol', 'banho', 'sol', 'sol', 'Se', 'Deus', 'quiser', 'dia', 'morro', 'bem', 'velha', 'Na', 'hora', 'H', 'bomba', 'estourar', 'quero', 'ver', 'janela', 'entrar', 'pacote', 'camarote']",PT-BR,https://api.vagalume.com.br/search.php?art= Rita Lee &mus=Baila-Comigo&apikey=dc668952146a4a25b6d06586e7b69708,aprox,
Comoeuquero,KidAbelha,"['Diz', 'pra', 'ficar', 'muda', 'faz', 'cara', 'mistério', 'Tira', 'bermuda', 'quero', 'sério', 'Tramas', 'sucesso', 'mundo', 'particular', 'Solos', 'guitarra', 'vão', 'conquistar', 'Refrão', 'Uuuuu', 'Eu', 'quero', 'quero', 'Bis', 'O', 'precisa', 'retoque', 'total', 'Vou', 'transformar', 'rascunho', 'arte', 'final', 'Agora', 'jeito', 'cê', 'tá', 'cilada', 'É', 'cada', 'si', 'mim', 'nada', 'Refrão', 'Uuuuu', 'Eu', 'quero', 'quero', 'Bis', 'Longe', 'domínio', 'cê', 'vai', 'mal', 'pior', 'Vem', 'ensino', 'ser', 'bem', 'melhor', 'Bis', 'Refrão', 'Uuuuu', 'Eu', 'quero', 'quero', 'Bis']",PT-BR,https://api.vagalume.com.br/search.php?art= Kid Abelha &mus=Como-eu-quero&apikey=dc668952146a4a25b6d06586e7b69708,aprox,
Dona,RoupaNova,"['Dona', 'desses', 'traiçoeiros', 'Sonhos', 'sempre', 'verdadeiros', 'Oh', 'Dona', 'desses', 'animais', 'Dona', 'ideais', 'Pelas', 'ruas', 'onde', 'andas', 'Onde', 'mandas', 'todos', 'Somos', 'sempre', 'mensageiros', 'Esperando', 'voz', 'Teus', 'desejos', 'ordem', 'Nada', 'nunca', 'nunca', 'Por', 'tens', 'certeza', 'Dentro', 'coração', 'Tã', 'tã', 'tã', 'batem', 'porta', 'Não', 'precisa', 'ver', 'Pra', 'sentir', 'impaciência', 'Do', 'pulso', 'mulher', 'Um', 'olhar', 'atira', 'cama', 'Um', 'beijo', 'faz', 'amar', 'Não', 'levanto', 'escondo', 'Porque', 'sei', 'és', 'dona', 'Dona', 'desses', 'traiçoeiros', 'Sonhos', 'sempre', 'verdadeiros', 'Oh', 'Dona', 'desses', 'animais', 'Dona', 'ideais', 'Não', 'pedra', 'caminho', 'Não', 'ondas', 'mar', 'Não', 'vento', 'tempestade', 'Que', 'impeçam', 'voar', 'Entre', 'cobra', 'passarinho', 'Entre', 'pomba', 'gavião', 'Ou', 'ódio', 'carinho', 'Nos', 'carregam', 'mão', 'É', 'moça', 'cantiga', 'mulher', 'criação', 'Umas', 'vezes', 'amiga', 'Outras', 'perdição', 'O', 'poder', 'levanta', 'força', 'faz', 'cair', 'Qual', 'ainda', 'sabe', 'Que', 'tudo', 'faz', 'dona', 'Dona']",PT-BR,https://api.vagalume.com.br/search.php?art= Roupa Nova &mus=Dona&apikey=dc668952146a4a25b6d06586e7b69708,exact,
Quepaíséesse?,LegiãoUrbana,"['Zé', 'Chinelão', 'onde', 'amo', 'Existirmos', 'destina', 'Pois', 'deste', 'rosa', 'pequenina', 'Vi', 'és', 'homem', 'lindo', 'acaso', 'sina', 'De', 'menino', 'infeliz', 'ilumina', 'Tão', 'pouco', 'turva-se', 'lágrima', 'nordestina', 'apenas', 'matéria', 'viva', 'tão', 'fina', 'olharmo-nos', 'intacta', 'retina', 'Da', 'cajuína', 'cristalina', 'Teresina', 'Que', 'país', 'Nas', 'favelas', 'senado', 'Sujeira', 'pra', 'todo', 'lado', 'Ninguém', 'respeita', 'Constituição', 'Mas', 'todos', 'acreditam', 'futuro', 'nação', 'Que', 'país', 'uau', 'Passarinho', 'quer', 'cantar', 'quer', 'cantar', 'tbitibitibiti', 'porque', 'acabar', 'nascer', 'Tchu', 'tchu', 'tchu', 'tchu', 'Tchu', 'tchu', 'tchu', 'tchu', 'Vamos', 'mostrar', 'agora', 'vídeos', 'assassinatos', 'Chinelão', 'Um', 'assassinato', 'brutal', 'criancinha', 'levando', 'prego', 'olho', 'É', 'vídeo', 'chinelada', 'Chinelão', 'É', 'vamo', 'pegar', 'ali', 'ó', 'vamo', 'pegar', 'ali', 'ó', 'Vem', 'cá', 'vou', 'maltratar', 'vem', 'vem', 'ai', 'cuidado', 'ai', 'senão', 'vai', 'cair', 'porrada', 'hein', 'Passarinho', 'quer', 'cantar', 'O', 'rabinho', 'balançar', 'Porque', 'acaba', 'nascer', 'ÔÔÔÔ', 'O', 'Rio', 'Janeiro', 'continua', 'lindo', 'O', 'Rio', 'Janeiro', 'continua', 'sendo', 'O', 'Rio', 'Janeiro', 'fevereiro', 'março', 'Alô', 'alô', 'Realengo', 'abraço', 'abraço', 'abraço', 'No', 'Amazonas', 'Araguaia', 'iá', 'iá', 'iá', 'Na', 'Baixada', 'Fluminense', 'Mato', 'Grosso', 'Gerais', 'Nordeste', 'tudo', 'paz', 'Na', 'morte', ""qu'eu"", 'descanso', 'Mas', 'sangue', 'anda', 'solto', 'Manchando', 'papéis', 'documentos', 'fiéis', 'Ao', 'descanso', 'patrão', 'Que', 'país', 'Né', 'Vocês', 'vão', 'fazer', 'alguma', 'coisa', 'pra', 'consertar', 'próprias', 'vidas', 'Eu', 'cheguei', 'seguinte', 'conclusão', 'adianta', 'consertar', 'resto', 'Consertar', 'gente', 'ajuda', 'pra', 'caramba', 'Terceiro', 'mundo', 'Piada', 'exterior', 'Mas', 'Brasil', 'vai', 'ficar', 'rico', 'Vamos', 'faturar', 'milhão', 'Parô', 'agora', 'todo', 'mundo', 'vai', 'pensar', 'país', 'vai', 'ficar', 'rico', 'vamos', 'faturar', 'milhão', 'precisar', 'matar', 'ninguém', 'Essa', 'agora', 'chama', 'metal', 'contras', 'nuves', 'Não', 'escravo', 'ninguém', 'Ninguém', 'senhor', 'domínio', 'Sei', 'devo', 'defender', 'valor', 'temo', 'agora', 'desfaz', 'Viajamos', 'sete', 'léguas', 'Por', 'abismos', 'florestas', 'Por', 'Deus', 'nunca', 'vi', 'tão', 'É', 'própria', 'fé', 'destrói', 'Estes', 'dias', 'desleais', 'Eu', 'metal', 'Raio', 'relâmpago', 'trovão', 'Eu', 'metal', 'Eu', 'ouro', 'brasão', 'Eu', 'metal', 'Sabe-me', 'sopro', 'dragão', 'Reconheço', 'pesar', 'Quando', 'tudo', 'traição', 'O', 'venho', 'encontrar', 'É', 'virtude', 'outras', 'mãos', 'Minha', 'terra', 'terra', 'sempre', 'Minha', 'terra', 'Tem', 'lua', 'estrelas', 'sempre', 'Quase', 'acreditei', 'promessa', 'vejo', 'fome', 'destruição', 'Perdi', 'sela', 'espada', 'Perdi', 'castelo', 'princesa', 'Quase', 'acreditei', 'quase', 'acreditei', 'honra', 'existir', 'verdade', 'Existem', 'tolos', 'existe', 'ladrão', 'alimente', 'roubo', 'Mas', 'vou', 'guardar', 'tesouro', 'Caso', 'mentindo', 'Olha', 'sopro', 'dragão', 'É', 'verdade', 'assombra', 'O', 'descaso', 'condena', 'estupidez', 'destrói', 'Eu', 'vejo', 'tudo', 'existe', 'Tenho', 'sentidos', 'dormentes', 'O', 'corpo', 'quer', 'alma', 'entende', 'Esta', 'terra-de-ninguém', 'Sei', 'devo', 'resistir', 'Eu', 'quero', 'espada', 'mãos', 'Eu', 'metal', 'raio', 'relâmpago', 'trovão', 'Eu', 'metal', 'ouro', 'brasão', 'Eu', 'metal', 'sabe', 'sopro', 'dragão', 'Não', 'entrego', 'lutar', 'Tenho', 'ainda', 'coração', 'Não', 'aprendi', 'render', 'Que', 'caia', 'inimigo', 'então', 'Tudo', 'passa', 'Tudo', 'passará', 'história', 'Não', 'estará', 'Pelo', 'avesso', 'assim', 'Sem', 'final', 'feliz', 'Teremos', 'coisas', 'bonitas', 'pra', 'contar', 'lá', 'Vamos', 'viver', 'Temos', 'ainda', 'fazer', 'Não', 'olhe', 'pra', 'trás', 'Apenas', 'começamos', 'O', 'mundo', 'começa', 'agora', 'ahh', 'Apenas', 'começamos']",PT-BR,https://api.vagalume.com.br/search.php?art= Legiao Urbana &mus=Que-pais-e-esse?&apikey=dc668952146a4a25b6d06586e7b69708,aprox,
