Music;Artist;Text;Language;Url;Search Status;
Detalhes;RobertoCarlos;Não adianta nem tentar me esquecer Durante muito tempo em sua vida eu vou viver  Detalhes tão pequenos de nós dois São coisas muito grandes pra esquecer E a toda hora vão estar presentes Você vai ver  Se um outro cabeludo aparecer na sua rua E isso lhe trouxer saudades minhas, a culpa é sua O ronco barulhento do seu carro A velha calça desbotada ou coisa assim Imediatamente você vai lembrar de mim  Eu sei que um outro deve estar falando ao seu ouvido Palavras de amor como eu falei, mas, eu duvido Duvido que ele tenha tanto amor E até os erros do meu português ruim E nessa hora você vai lembrar de mim  À noite, envolvida no silêncio do seu quarto, Antes de dormir você procura o meu retrato Mas na moldura não sou eu quem lhe sorri Mas você vê o meu sorriso mesmo assim E tudo isso vai fazer você lembrar de mim  Se alguém tocar seu corpo como eu, não diga nada Não vá dizer meu nome sem querer à pessoa errada Pensando ter amor nesse momento, desesperada,  Você tenta até o fim E até nesse momento você vai lembrar de mim  Eu sei que esses detalhes vão sumir na longa estrada Do tempo que transforma todo amor em quase nada Mas quase também é mais um detalhe Um grande amor não vai morrer assim Por isso, de vez em quando você vai Vai lembrar de mim  Não adianta nem tentar me esquecer Durante muito e muito tempo em sua vida eu vou viver;PT-BR;https://api.vagalume.com.br/search.php?art= Roberto Carlos &mus=Detalhes&apikey=dc668952146a4a25b6d06586e7b69708;exact
JuventudeTransviada;LuizMelodia;Lava roupa todo dia, que agonia Na quebrada da soleira, que chovia Até sonhar de madrugada, uma moça sem mancada Uma mulher não deve vacilar  Eu entendo a juventude transviada E o auxílio luxuoso de um pandeiro Até sonhar de madrugada, uma moça sem mancada Uma mulher não deve vacilar  Cada cara representa uma mentira Nascimento, vida e morte, quem diria Até sonhar de madrugada, uma moça sem mancada Uma mulher não deve vacilar  Hoje pode transformar E o que diria a juventude Um dia você vai chorar Vejo claras fantasias;PT-BR;https://api.vagalume.com.br/search.php?art= Luiz Melodia &mus=Juventude-Transviada&apikey=dc668952146a4a25b6d06586e7b69708;aprox
Amigo;RobertoCarloseErasmoCarlos;Você meu amigo de fé, meu irmão camarada Amigo de tantos caminhos e tantas jornadas Cabeça de homem mas o coração de menino Aquele que está do meu lado em qualquer caminhada Me lembro de todas as lutas, meu bom companheiro Você tantas vezes provou que é um grande guerreiro O seu coração é uma casa de portas abertas Amigo você é o mais certo das horas incertas  Às vezes em certos momentos difíceis da vida Em que precisamos de alguém pra ajudar na saída A sua palavra de força, de fé e de carinho Me dá a certeza de que eu nunca estive sozinho  Você meu amigo de fé, meu irmão camarada Sorriso e abraço festivo da minha chegada Você que me diz as verdades com frases abertas Amigo você é o mais certo das horas incertas  Não preciso nem dizer  Tudo isso que eu lhe digo Mas é muito bom saber Que você é meu amigo  Não preciso nem dizer  Tudo isso que eu lhe digo Mas é muito bom saber  Que eu tenho um grande amigo  Não preciso nem dizer Tudo isso que eu lhe digo Mas é muito bom saber Que você é meu amigo  Não preciso nem dizer Tudo isso que eu lhe digo Mas é muito bom saber Que eu tenho um grande amigo;PT-BR;https://api.vagalume.com.br/search.php?art= Roberto Carlos e Erasmo Carlos &mus=Amigo&apikey=dc668952146a4a25b6d06586e7b69708;exact
OBêbadoeAEquilibrista;ElisRegina;Caía a tarde feito um viaduto E um bêbado trajando luto Me lembrou Carlitos...  A lua Tal qual a dona do bordel Pedia a cada estrela fria Um brilho de aluguel  E nuvens! Lá no mata-borrão do céu Chupavam manchas torturadas Que sufoco! Louco! O bêbado com chapéu-coco Fazia irreverências mil Pra noite do Brasil. Meu Brasil!...  Que sonha com a volta Do irmão do Henfil. Com tanta gente que partiu Num rabo de foguete Chora! A nossa Pátria Mãe gentil Choram Marias E Clarices No solo do Brasil...  Mas sei, que uma dor Assim pungente Não há de ser inutilmente A esperança...  Dança na corda bamba De sombrinha E em cada passo Dessa linha Pode se machucar...  Azar! A esperança equilibrista Sabe que o show De todo artista Tem que continuar...;PT-BR;https://api.vagalume.com.br/search.php?art= Elis Regina &mus=O-Bebado-e-A-Equilibrista&apikey=dc668952146a4a25b6d06586e7b69708;aprox
Nosilênciodamadrugada;LuizAyrão;Aproveitou o silêncio da madrugada     E sem dizer nada, catou     Os seus farrapos do roupeiro     Pegou todo o dinheiro e arribou     Falsamente aproveitou     O silêncio da madrugada     Como uma ladra     Realmente ela roubou     Todos os meus planos     Todos esses anos     Que em vão meu coração amou     Pegou meu violão seresteiro     Que eu custei o ano inteiro pra pagar a prestação mas também pra que que eu quero uma viola     Se ela foi embora e levou a inspiração     Aproveitou ...;PT-BR;https://api.vagalume.com.br/search.php?art= Luiz Ayrao &mus=No-silencio-da-madrugada&apikey=dc668952146a4a25b6d06586e7b69708;aprox
RetalhosdeCetim;BenitoDiPaula;Ensaiei meu samba o ano inteiro, Comprei surdo e tamborim.  Gastei tudo em fantasia, Era só o que eu queria. E ela jurou desfilar pra mim,  Minha escola estava tão bonita. Era tudo o que eu queria ver,  Em retalhos de cetim. Eu dormi o ano inteiro, E ela jurou desfilar pra mim.  Mas chegou o carnaval, E ela não desfilou, Eu chorei na avenida, eu chorei.  Não pensei que mentia a cabrocha, Que eu tanto amei...;PT-BR;https://api.vagalume.com.br/search.php?art= Benito Di Paula &mus=Retalhos-de-Cetim&apikey=dc668952146a4a25b6d06586e7b69708;aprox
IluAyê;ClaraNunes;Ilu Ayê, Ilu Ayê, Odara Negro cantava na nação nagô  Depois chorou lamentos de senzala Tão longe estava de sua Ilu Ayê Tempo passou e no terreirão da casa grande Negro diz tudo que pode dizer  É samba, é batuque, é reza É dança, é ladainha Negro joga capoeira E faz louvação à rainha  Hoje, negro é terra Negro é vida Na mutação do tempo Desfilando na avenida Negro é sensacional É toda festa do povo É dono do carnaval;PT-BR;https://api.vagalume.com.br/search.php?art= Clara Nunes &mus=Ilu-Aye&apikey=dc668952146a4a25b6d06586e7b69708;aprox
FoiumRioquepassouemMinhaVida;PaulinhodaViola;Se um dia  Meu coração for consultado                      Para saber se andou errado  Será difícil negar   Meu coração tem manias de amor  Amor não é fácil de achar  A marca dos meus desenganos  Ficou, ficou  Só um amor pode apagar  A marca dos meus desenganos  Ficou, ficou  Só um amor pode apagar   Porém, ai   porém  Há um caso diferente  Que marcou um breve tempo  Meu coração para sempre  Era dia de carnaval  Carregava uma tristeza  Não pensava em novo amor  Quando alguém que não me   Lembro anunciou  Portela, Portela  O samba trazendo alvorada  Meu coração conquistou  Ai, minha Portela  Quando vi você passar  Senti meu coração apressado               Todo meu corpo tomado  E alegria voltar  Não posso definir aquele azul       Não era do céu  Nem era do mar  Foi um rio     que passou em     Minha vida   E meu coração se deixou levar  Foi um rio     que passou em   Minha vida;PT-BR;https://api.vagalume.com.br/search.php?art= Paulinho da Viola &mus=Foi-um-Rio-que-passou-em-Minha-Vida&apikey=dc668952146a4a25b6d06586e7b69708;aprox
MoroOndeNãoMoraNinguém;Agepê;Moro onde não mora ninguém Onde não passa ninguém Onde não vive ninguém É lá onde moro Que eu me sinto bem Moro onde moro Moro onde não mora ninguém Onde não passa ninguém Onde não vive ninguém É lá onde moro Que eu me sinto bem Moro onde moro Moro onde não mora ninguém Onde não passa ninguém Onde não vive ninguém É lá onde moro Que eu me sinto bem Não tem bloco na rua Não tem carnaval Mas não saio de lá Meu passarinho me canta a mais linda Cantiga que há Coisas linda vem do lado de lá Coisas linda vem do lado de lá Moro onde moro (eu também moro) Moro onde não mora ninguém Onde não passa ninguém Onde não vive ninguém É lá onde moro Que eu me sinto bem Uma casinha branca No alto da serra Um coqueiro ao lado Um cachorro magro amarrado Um fogão de lenha Todo enfumaçado É lá onde moro Aonde não passa ninguém É lá que eu vivo sem guerra É lá que eu me sinto bem É lá onde moro Aonde não passa ninguém É lá que eu vivo sem guerra É lá que eu me sinto bem Moro onde moro Moro onde não mora ninguém Onde não passa ninguém Onde não vive ninguém É lá onde moro Que eu me sinto bem Moro onde moro (eu também moro) Moro onde não mora ninguém Onde não passa ninguém Onde não vive ninguém É lá onde moro Que eu me sinto bem Moro onde moro;PT-BR;https://api.vagalume.com.br/search.php?art= Agepe &mus=Moro-Onde-Nao-Mora-Ninguem&apikey=dc668952146a4a25b6d06586e7b69708;GoogleSearch OK
Outravez;RobertoCarlos;Você foi o maior dos meus casos  De todos os abraços  O que eu nunca esqueci  Você foi, dos amores que eu tive  O mais complicado e o mais simples pra mim   Você foi o melhor dos meus erros  A mais estranha história  Que alguém já escreveu  E é por essas e outras  Que a minha saudade faz lembrar  De tudo outra vez....   Você foi  A mentira sincera  Brincadeira mais séria que me aconteceu  Você foi  O caso mais antigo  O amor mais amigo que me apareceu   Das lembranças que eu trago na vida  Você é a saudade que eu gosto de ter  Só assim sinto você bem perto de mim  Outra vez           Esqueci de tentar te esquecer  Resolvi te querer por querer  Decidi te lembrar quantas vezes eu tenha vontade  Sem nada perder        Você foi  Toda a felicidade  Você foi a maldade que só me fez bem  Você foi  O melhor dos meus planos  E o maior dos enganos que eu pude fazer    Das lembranças que eu trago na vida  Você é a saudade que eu gosto de ter  Só assim sinto você bem perto de mim  Outra vez;PT-BR;https://api.vagalume.com.br/search.php?art= Roberto Carlos &mus=Outra-vez&apikey=dc668952146a4a25b6d06586e7b69708;aprox
