Music,Artist,Text,Language,Url,Search Status,Unnamed: 6
MeninaVeneno,Ritchie,"['meia-noit', 'quart', 'vai', 'sub', 'ouç', 'pass', 'esc', 'vej', 'port', 'abr', 'abajur', 'cor', 'carn', '*', 'lençol', 'azul', 'cortin', 'sed', 'corp', 'nu', 'menin', 'venen', 'mund', 'pequen', 'demal', 'doi', 'tod', 'cam', 'durm', 'dá', 'olh', 'verd', 'espelh', 'brilh', 'mim', 'corp', 'int', 'praz', 'princípi', 'sim', 'so', 'quart', 'acord', 'fic', 'fal', 'pra', 'pared', 'anoitec', 'menin', 'venen', 'jeit', 'seren', 'ser', 'tod', 'noit', 'quart', 'vem', 'entorpec', 'entorpec', 'menin', 'venen', 'mund', 'pequen', 'demal', 'pra', 'doi', 'tod', 'cam', 'durm', 'dá', 'meia-noit', 'quart', 'vai', 'surg', 'ouç', 'pass', 'esc', 'vej', 'port', 'abr', 'vem', 'sei', 'ond', 'sei', 'vem', 'am', 'sei', 'nom', 'precis', 'cham', 'menin', 'venen', 'jeit', 'seren', 'ser', 'tod', 'noit', 'quart', 'vem', 'entorpec', 'entorpec', 'menin', 'venen', '*', 'segund', 'sit', 'ofic', 'can']",PT-BR,https://api.vagalume.com.br/search.php?art= Ritchie &mus=Menina-Veneno&apikey=dc668952146a4a25b6d06586e7b69708,exact,
Balancê,GalCosta,"['ô', 'balanc', 'balanc', 'quer', 'danç', 'entr', 'rod', 'moren', 'pra', 'ver', 'ô', 'balanc', 'balanc', 'mim', 'pass', 'fing', 'vê', 'coraçã', 'quas', 'desped', 'balanc', 'balanc', 'refr', 'cartilh', 'abc', 'mai', 'maravilh', 'balanc', 'balanc', 'refr', 'lev', 'vid', 'pens', 'pens', 'temp', 'pass', 'vou', 'acab', 'balanc', 'balanc']",PT-BR,https://api.vagalume.com.br/search.php?art= Gal Costa &mus=Balance&apikey=dc668952146a4a25b6d06586e7b69708,exact,
SoniferaIlha,Titãs,"['poss', 'viv', 'assim', 'lad', 'col', 'ouv', 'rad', 'pilh', 'pra', 'sinton', 'so', 'ilh', 'soníf', 'ilh', 'descans', 'olh', 'sosseg', 'boc', 'ench', 'luz', 'soníf', 'ilh', 'descans', 'olh', 'sosseg', 'boc', 'ench', 'luz', 'quer', 'viv', 'assim', 'lad', 'col', 'ouv', 'rad', 'pilh', 'pra', 'sinton', 'so', 'ilh', 'refr', 'soníf', 'ilh', 'descans', 'olh', 'sosseg', 'boc', 'ench', 'luz', 'soníf', 'ilh', 'ohh', 'descans', 'olh', 'sosseg', 'boc', 'ench', 'luz', 'soníf', 'ilh', 'descans', 'olh', 'sosseg', 'boc', 'ench', 'luz']",PT-BR,https://api.vagalume.com.br/search.php?art= Titas &mus=Sonifera-Ilha&apikey=dc668952146a4a25b6d06586e7b69708,exact,
FazPartedoMeuShow,Cazuza,"['peg', 'escol', 'ench', 'bol', 'tod', 'am', 'lev', 'pra', 'fest', 'test', 'sex', 'ar', 'profes', 'faç', 'promess', 'maluc', 'tão', 'curt', 'quant', 'sonh', 'bom', 'esc', 'verdad', 'baby', 'pra', 'proteg', 'solid', 'faz', 'part', 'show', 'faz', 'part', 'show', 'am', 'confund', 'cox', 'outr', 'moç', 'mostr', 'tod', 'dor', 'faç', 'filh', 'dou', 'outr', 'vid', 'pra', 'mostr', 'vag', 'lua', 'desert', 'pedr', 'arpo', 'dig', 'alô', 'inimig', 'encontr', 'abrig', 'peit', 'trai', 'faz', 'part', 'show', 'faz', 'part', 'show', 'am', 'invent', 'desculp', 'provoc', 'brig', 'dig', 'viv', 'clip', 'nex', 'pierrô-retrocess', 'mei', 'boss', 'nov', 'rock', 'n', 'roll', 'faz', 'part', 'show', 'faz', 'part', 'show', 'am', '©', 'warn', 'chappell']",PT-BR,https://api.vagalume.com.br/search.php?art= Cazuza &mus=Faz-Parte-do-Meu-Show&apikey=dc668952146a4a25b6d06586e7b69708,exact,
BemQueSeQuis,MarisaMonte,"['bem', 'quil', 'tud', 'aind', 'ser', 'feliz', 'caminh', 'pra', 'volt', 'vid', 'fez', 'vid', 'gent', 'faz', 'am', 'tant', 'faz', 'esquec', 'esquec', 'porqu', 'desej', 'melhor', 'praz', 'destin', 'quer', 'sempr', 'estr', 'corr', 'pro', 'mar', 'agor', 'vem', 'pra', 'pert', 'vem', 'vem', 'depress', 'vem', 'fim', 'dentr', 'mim', 'quer', 'sent', 'corp', 'pes', 'sobr', 'vem', 'am', 'vem', 'pra', 'mim', 'abraç', 'devag', 'beij', 'faz', 'esquec', 'bem', 'quil', 'tud', 'aind', 'ser', 'feliz', 'caminh', 'pra', 'volt', 'vid', 'fez', 'vid', 'gent', 'faz', 'am', 'tant', 'faz', 'esquec', 'esquec', 'porqu', 'desej', 'melhor', 'praz', 'destin', 'quer', 'sempr', 'estr', 'corr', 'pro', 'mar', 'agor', 'vem', 'pra', 'pert', 'vem', 'vem', 'depress', 'vem', 'fim', 'dentr', 'mim', 'quer', 'sent', 'corp', 'pes', 'sobr', 'vem', 'am', 'vem', 'pra', 'mim', 'abraç', 'devag', 'beij', 'faz', 'esquec', 'bem', 'quil']",PT-BR,https://api.vagalume.com.br/search.php?art= Marisa Monte &mus=Bem-Que-Se-Quis&apikey=dc668952146a4a25b6d06586e7b69708,aprox,
muitoestranho,Dalto,"['hum', 'dia', 'cheg', 'estranh', 'deix', 'águ', 'corp', 'lembr', 'banh', 'hum', 'dia', 'cheg', 'louc', 'deix', 'noit', 'sab', 'dia', 'pouc', 'cuid', 'bem', 'mim', 'ent', 'mistur', 'tud', 'dentr', 'porqu', 'ninguém', 'vai', 'dorm', 'sonh', 'hum', 'car', 'pra', 'tant', 'plan', 'quer', 'am', 'am', 'am', 'muit', 'ano', 'hum', 'tant', 'vez', 'quil', 'fic', 'solt', 'lua', 'brinc', 'rost', 'cuid', 'bem', 'mim', 'ent', 'mistur', 'tud', 'dentr', 'porqu', 'ninguém', 'vai', 'dorm', 'sonh']",PT-BR,https://api.vagalume.com.br/search.php?art= Dalto &mus=muito-estranho&apikey=dc668952146a4a25b6d06586e7b69708,exact,
BailaComigo,RitaLee,"['deu', 'quis', 'dia', 'quer', 'ser', 'índi', 'viv', 'pel', 'pint', 'verd', 'etern', 'doming', 'ser', 'bich', 'preguiç', 'espant', 'turist', 'tom', 'banh', 'sol', 'banh', 'sol', 'banh', 'sol', 'sol', 'deu', 'quis', 'dia', 'acab', 'vo', 'tão', 'banal', 'assim', 'pard', 'mei', 'contrab', 'desvi', 'estiling', 'deix', 'xing', 'tom', 'banh', 'sol', 'banh', 'sol', 'banh', 'sol', 'banh', 'sol', 'bail', 'comig', 'bail', 'trib', 'bail', 'comig', 'lá', 'esconderij', 'deu', 'quis', 'dia', 'vir', 'sement', 'chuv', 'molh', 'jardim', 'ah', 'fic', 'cont', 'primav', 'vou', 'brot', 'terr', 'tom', 'banh', 'sol', 'banh', 'sol', 'banh', 'sol', 'sol', 'deu', 'quis', 'dia', 'morr', 'bem', 'velh', 'hor', 'h', 'bomb', 'estour', 'quer', 'ver', 'janel', 'entr', 'pacot', 'camarot']",PT-BR,https://api.vagalume.com.br/search.php?art= Rita Lee &mus=Baila-Comigo&apikey=dc668952146a4a25b6d06586e7b69708,aprox,
Comoeuquero,KidAbelha,"['diz', 'pra', 'fic', 'mud', 'faz', 'car', 'mistéri', 'tir', 'bermud', 'quer', 'séri', 'tram', 'sucess', 'mund', 'particul', 'sol', 'guit', 'vão', 'conquist', 'refr', 'uuuuu', 'quer', 'quer', 'bi', 'precis', 'retoqu', 'total', 'vou', 'transform', 'rascunh', 'art', 'final', 'agor', 'jeit', 'cê', 'tá', 'cil', 'cad', 'si', 'mim', 'nad', 'refr', 'uuuuu', 'quer', 'quer', 'bi', 'long', 'domíni', 'cê', 'vai', 'mal', 'pi', 'vem', 'ensin', 'ser', 'bem', 'melhor', 'bi', 'refr', 'uuuuu', 'quer', 'quer', 'bi']",PT-BR,https://api.vagalume.com.br/search.php?art= Kid Abelha &mus=Como-eu-quero&apikey=dc668952146a4a25b6d06586e7b69708,aprox,
Dona,RoupaNova,"['don', 'dess', 'traiço', 'sonh', 'sempr', 'verd', 'oh', 'don', 'dess', 'animal', 'don', 'ideal', 'rua', 'ond', 'and', 'ond', 'mand', 'tod', 'sempr', 'mensag', 'esper', 'voz', 'desej', 'ord', 'nad', 'nunc', 'nunc', 'tem', 'cert', 'dentr', 'coraçã', 'tã', 'tã', 'tã', 'bat', 'port', 'precis', 'ver', 'pra', 'sent', 'impaci', 'puls', 'mulh', 'olh', 'atir', 'cam', 'beij', 'faz', 'am', 'levant', 'esc', 'porqu', 'sei', 'és', 'don', 'don', 'dess', 'traiço', 'sonh', 'sempr', 'verd', 'oh', 'don', 'dess', 'animal', 'don', 'ideal', 'pedr', 'caminh', 'ond', 'mar', 'vent', 'tempestad', 'impeç', 'vo', 'cobr', 'pass', 'pomb', 'gav', 'ódi', 'car', 'carreg', 'mão', 'moç', 'cantig', 'mulh', 'cri', 'uma', 'vez', 'amig', 'outr', 'perd', 'pod', 'levant', 'forç', 'faz', 'cair', 'aind', 'sab', 'tud', 'faz', 'don', 'don']",PT-BR,https://api.vagalume.com.br/search.php?art= Roupa Nova &mus=Dona&apikey=dc668952146a4a25b6d06586e7b69708,exact,
Quepaíséesse?,LegiãoUrbana,"['favel', 'sen', 'suj', 'pra', 'tod', 'lad', 'ninguém', 'respeit', 'constitu', 'tod', 'acredit', 'futur', 'naçã', 'país', 'país', 'país', 'ama', 'aragua', 'baix', 'flumin', 'mat', 'gross', 'min', 'geral', 'nord', 'tud', 'paz', 'mort', 'descans', 'sang', 'and', 'solt', 'manch', 'papel', 'document', 'fiéisa', 'descans', 'patrã', 'país', 'país', 'país', 'país', 'terc', 'mund', 'pi', 'exteri', 'brasil', 'vai', 'fic', 'ric', 'vam', 'fatur', 'milhã', 'vend', 'tod', 'alm', 'índi', 'leilã', 'país', 'país', 'país', 'país']",PT-BR,https://api.vagalume.com.br/search.php?art= Legiao Urbana &mus=Que-pais-e-esse?&apikey=dc668952146a4a25b6d06586e7b69708,aprox,
DeusTeProtejaDeMim,Wando,"['deu', 'protej', 'ond', 'alegr', 'invad', 'tod', 'dia', 'encontr', 'deu', 'protej', 'beij', 'pec', 'tão', 'gost', 'tão', 'lev', 'tão', 'molh', 'praz', 'tod', 'vez', 'cruz', 'caminh', 'esqueç', 'so', 'nasc', 'vou', 'morr', 'olh', 'vej', 'mund', 'tão', 'bonit', 'fé', 'acredit', 'deix', 'am', 'acontec', 'vem', 'seduz', 'confund', 'agrad', 'louc', 'louc', 'vem', 'brinc', 'fog', 'queim', 'queim', 'queim', 'junt', 'gent', 'pod', 'acend', 'vou', 'deix', 'am', 'med', 'sofr', 'qu', 'dar', 'quer', 'receb', 'vinh', 'proib', 'safr', 'espec', 'embriag', 'alucin', 'faz', 'mal', 'deu', 'protej', 'falt', 'respeit', 'corp', 'leit', 'gent', 'faz', 'am', 'deu', 'protej', 'jeit', 'atrev', 'provoc', 'gem', 'gost', 'dor', 'vest', 'escond', 'part', 'form', 'benz', 'deu', 'fême', 'gost', 'am', 'guard', 'pra', 'mim', 'repet', 'fal', 'louc', 'sent', 'bem', 'baix', 'ouv', 'dá', 'quer', 'sim', 'vem', 'seduz', 'confund', 'agrad', 'louc', 'louc', 'vem', 'brinc', 'fog', 'queim', 'queim', 'queim', 'junt', 'gent', 'pod', 'acend', 'vou', 'deix', 'am', 'med', 'sofr', 'qu', 'dar', 'quer', 'receb', 'vinh', 'proib', 'safr', 'espec', 'embriag', 'alucin', 'faz', 'mal']",PT-BR,https://api.vagalume.com.br/search.php?art= Wando &mus=Deus-Te-Proteja-De-Mim&apikey=dc668952146a4a25b6d06586e7b69708,exact,
